State/UT,District,Temperature,Condition,Humidity,,
Maharashtra,Akola,23.1,Clear,30,,
Maharashtra,Amravati,22.8,Clear,30,,
Maharashtra,Aurangabad,21.3,Mist,73,,
Maharashtra,Beed,13.2,Clear,44,,
Maharashtra,Bhandara,21.7,Clear,30,,
Maharashtra,Buldhana,27,Sunny,61,,
Maharashtra,Chandrapur,22.3,Clear,38,,
Maharashtra,Dhule,22.8,Clear,36,,
Maharashtra,Gadchiroli,27,Sunny,61,,
Manipur,Bishnupur,19,Mist,88,,
Manipur,Churachandpur,8.5,Clear,71,,
Manipur,Imphal East,7.5,Clear,65,,
Manipur,Imphal West,7.5,Clear,65,,
Manipur,Jiribam,27,Sunny,61,,
Manipur,Kakching,7.8,Clear,68,,
Manipur,Kamjong,27,Sunny,61,,
Manipur,Kangpokpi,7.5,Clear,65,,
Manipur,Noney,27,Sunny,61,,
Manipur,Pherzawl,27,Sunny,61,,
Meghalaya,East Garo Hills,23.6,Light rain shower,92,,
Meghalaya,East Khasi Hills,-0.7,Clear,80,,
Meghalaya,Jaintia Hills,20.2,Partly cloudy,78,,
Meghalaya,Ri Bhoi,16.4,Clear,26,,
Meghalaya,South Garo Hills,29.2,Mist,23,,
Meghalaya,South Khasi Hills,-0.7,Clear,80,,
Meghalaya,West Garo Hills,9.7,Clear,21,,
Meghalaya,West Khasi Hills,-0.7,Clear,80,,
Mizoram,Aizawl,13.2,Clear,61,,
Mizoram,Champhai,27,Sunny,61,,
Mizoram,Hnahthial,9,Clear,34,,
Mizoram,Kolasib,27,Sunny,61,,
Mizoram,Lawngtlai,11.7,Clear,48,,
Mizoram,Lunglei,11.5,Clear,52,,
Mizoram,Mamit,8.9,Clear,61,,
Mizoram,Saitual,8.9,Clear,61,,
Mizoram,Serchhip,11.9,Clear,52,,
Nagaland,Dimapur,12.7,Clear,63,,
Nagaland,Kiphire,27,Sunny,61,,
Nagaland,Kohima,8.7,Clear,52,,
Nagaland,Longleng,27,Sunny,61,,
Nagaland,Mokokchung,12.8,Clear,81,,
Nagaland,Mon,16.1,Patchy rain nearby,78,,
Nagaland,Peren,6.2,Partly cloudy,75,,
Nagaland,Phek,7,Clear,93,,
Nagaland,Tuensang,6.8,Mist,97,,
Nagaland,Zunheboto,9.2,Clear,88,,
Odisha,Angul,18.7,Clear,54,,
Odisha,Balangir,18.8,Clear,33,,
Odisha,Bargarh,21.6,Clear,28,,
Odisha,Bhadrak,20.4,Clear,88,,
Odisha,Boudh,27,Sunny,61,,
Odisha,Cuttack,21.3,Mist,94,,
Odisha,Deogarh,16.9,Clear,30,,
Odisha,Dhenkanal,21.3,Mist,94,,
Odisha,Gajapati,27,Sunny,61,,
Odisha,Ganjam,19.5,Clear,82,,
Punjab,Amritsar,10.3,Mist,82,,
Punjab,Barnala,10.9,Clear,37,,
Punjab,Bathinda,27,Sunny,61,,
Punjab,Faridkot,11.6,Clear,32,,
Punjab,Fatehgarh Sahib,11,Clear,42,,
Punjab,Fazilka,13,Clear,28,,
Punjab,Ferozepur,11.4,Clear,32,,
Punjab,Gurdaspur,10.4,Clear,41,,
Punjab,Hoshiarpur,11.1,Clear,43,,
Punjab,Jalandhar,10.6,Clear,38,,
Rajasthan,Ajmer,15.3,Clear,35,,
Rajasthan,Alwar,14.1,Clear,43,,
Rajasthan,Banswara,18.3,Clear,41,,
Rajasthan,Baran,17,Clear,67,,
Rajasthan,Barmer,15.9,Clear,29,,
Rajasthan,Bhilwara,14.2,Clear,33,,
Rajasthan,Bikaner,16.4,Clear,33,,
Rajasthan,Bundi,15.2,Clear,35,,
Rajasthan,Chittorgarh,27,Sunny,61,,
Rajasthan,Churu,17.1,Clear,32,,
Sikkim,East Sikkim,7.1,Clear,84,,
Sikkim,North Sikkim,7.1,Clear,84,,
Sikkim,South Sikkim,7.1,Clear,84,,
Sikkim,West Sikkim,7.1,Clear,84,,
Tamil Nadu,Ariyalur,24.3,Mist,89,,
Tamil Nadu,Chengalpattu,25.2,Mist,79,,
Tamil Nadu,Chennai,25.2,Mist,79,,
Tamil Nadu,Coimbatore,24.4,Mist,69,,
Tamil Nadu,Cuddalore,24.3,Partly Cloudy,74,,
Tamil Nadu,Dharmapuri,18.7,Clear,83,,
Tamil Nadu,Dindigul,24.2,Mist,89,,
Tamil Nadu,Erode,22.4,Clear,75,,
Tamil Nadu,Kallakurichi,27,Sunny,61,,
Tamil Nadu,Kanchipuram,25.2,Mist,79,,
Telangana,Adilabad,22,Clear,33,,
Telangana,Hyderabad,20.4,Mist,88,,
Telangana,Jagtial,21.6,Clear,43,,
Telangana,Jangaon,23.4,Mist,73,,
Telangana,Jayashankar Bhupalapally,27,Sunny,61,,
Telangana,Jogulamba Gadwal,22.5,Clear,58,,
Telangana,Kamareddy,27,Sunny,61,,
Telangana,Karimnagar,21.6,Clear,46,,
Telangana,Khammam,19,Clear,85,,
Telangana,Komaram Bheem Asifabad,22.2,Clear,33,,
Tripura,Dhalai,13.2,Clear,69,,
Tripura,Khowai,14.3,Clear,64,,
Tripura,North Tripura,15.4,Clear,54,,
Tripura,Sepahijala,27,Sunny,61,,
Tripura,South Tripura,15.4,Clear,54,,
Tripura,Unakoti,27,Sunny,61,,
Tripura,West Tripura,15.4,Clear,54,,
Uttar Pradesh,Agra,15,Clear,56,,
Uttar Pradesh,Aligarh,15.8,Clear,43,,
